Topic Category,PDF,Text
total number of drug or alcohol terms mentioned,BJCF_LOCAL_-_Superintendent_Nonrenewal_LOCAL.pdf,"Drunkenness or excessive use of alcoholic beverages; or possession, use, or being under the influence of alcohol or al- coholic b everages while on District property, while working in the scope of the employee ’s duties, or while attending any school - or District -sponsored activity."
total number of drug or alcohol terms mentioned,BJCF_LOCAL_-_Superintendent_Nonrenewal_LOCAL.pdf,"The illegal possession, use, manufacture, or distribution of a controlled substance, a drug, a dangerou s drug, hallucino- gens, or other substances regulated by state statutes."
number of times arrest or synonyms are mentioned,BJCF_LOCAL_-_Superintendent_Nonrenewal_LOCAL.pdf,"Failure to report to the Board any arrest, indictment, convic- tion, no contest or guilty plea, or other adjudication fo r any fel- ony, any crime involving moral turpitude, or other offense listed at DH(LOCAL)."
number of times transfer or referral to treatment programs are mentioned,DAA_LEGAL_-_Employment_Objectives_Equal_Employment_Opportunity_LEGAL.pdf,Section 504 of the Rehabilitation Act of 1973 (Section 504) — dis- ability in programs receiving federal funds.
total number of drug or alcohol terms mentioned,DAA_LEGAL_-_Employment_Objectives_Equal_Employment_Opportunity_LEGAL.pdf,"12114(c), (d); Labor Code 21.002(6)(A) [See DHE] The term “qualified individual with a disability” does not include an individual who is an alcoholic and whose current use of alcohol prevents the employee from performing the duties of his or her job or whose employment, by reason of such current alcohol abuse, would constitute a direct threat to property or the safety of others."
number of times transfer or referral to treatment programs are mentioned,DAA_LEGAL_-_Employment_Objectives_Equal_Employment_Opportunity_LEGAL.pdf,1630.16(e); Labor Code 21.002(6)(B) A district that is subject to the jurisdiction of Title I of the ADA (em- ployment discrimination) or to Section 504 of the Rehabilitation Act (employment discrimination) shall comply with the reasonable ac- commodation requirements of those laws with respect to service animals.
total number of drug or alcohol terms mentioned,DAA_LEGAL_-_Employment_Objectives_Equal_Employment_Opportunity_LEGAL.pdf,A test for the presence of alcohol or illegal drugs is not a genetic test.
total number of drug or alcohol terms mentioned,DAA_LEGAL_-_Employment_Objectives_Equal_Employment_Opportunity_LEGAL.pdf,"However, a test to determine whether an individual has a ge- netic predisposition for alcoholism or drug use is a genetic test."
number of times suspension or synonyms are mentioned,DAA_LEGAL_-_Employment_Objectives_Equal_Employment_Opportunity_LEGAL.pdf,"This may be accomplished by tem- porary suspension of the essential function(s) and the em- ployee performing the remaining functions of their position or, depending on the position, other arrangements, including, but not limited to: the employee performing the remaining func- tions of their position and other functions assigned by the cov- ered entity; the employee performing the functions of a differ- ent job to which the covered entity temporarily transfers or assigns the employee; or the employee being assigned to light duty or modified duty or participating in the covered en- tity’s light or modified duty program."
number of times suspension or synonyms are mentioned,DAA_LEGAL_-_Employment_Objectives_Equal_Employment_Opportunity_LEGAL.pdf,"However, if such employee rejects a reasonable ac- commodation that is necessary to enable the employee to perform an essential function of the position held or desired or to apply for the position, or rejects temporary suspension of an essential func- tion if the employee is qualified under 29 C.F.R."
number of times suspension or synonyms are mentioned,DAA_LEGAL_-_Employment_Objectives_Equal_Employment_Opportunity_LEGAL.pdf,Temporary suspension of essential functions and/or modifica- tions or adjustments that permit the temporary suspension of essential functions.
total number of disciplinary terms mentioned,DAA_LEGAL_-_Employment_Objectives_Equal_Employment_Opportunity_LEGAL.pdf,Taking other disciplinary action against the person.
